10,3,10,20,5,5500
==========
Car ID,Level,Initial station
1,1,4
2,1,5
3,1,4
4,1,8
5,3,3
6,1,5
7,3,6
8,1,2
9,2,4
10,1,2
==========
Car level,Hour rate
1,141
2,323
3,363
==========
==========
From,To,Distance
1,1,0
1,2,290
1,3,243
1,4,133
1,5,51
1,6,237
1,7,23
1,8,276
1,9,13
1,10,164
2,1,22
2,2,0
2,3,137
2,4,222
2,5,217
2,6,82
2,7,120
2,8,43
2,9,240
2,10,94
3,1,167
3,2,147
3,3,0
3,4,207
3,5,287
3,6,293
3,7,96
3,8,192
3,9,161
3,10,110
4,1,189
4,2,86
4,3,242
4,4,0
4,5,176
4,6,274
4,7,15
4,8,262
4,9,278
4,10,92
5,1,193
5,2,20
5,3,179
5,4,129
5,5,0
5,6,283
5,7,189
5,8,187
5,9,258
5,10,283
6,1,24
6,2,145
6,3,284
6,4,293
6,5,242
6,6,0
6,7,42
6,8,95
6,9,166
6,10,146
7,1,210
7,2,122
7,3,269
7,4,184
7,5,88
7,6,203
7,7,0
7,8,213
7,9,242
7,10,232
8,1,294
8,2,223
8,3,65
8,4,42
8,5,176
8,6,188
8,7,112
8,8,0
8,9,92
8,10,102
9,1,219
9,2,136
9,3,28
9,4,222
9,5,158
9,6,116
9,7,53
9,8,40
9,9,0
9,10,168
10,1,109
10,2,220
10,3,251
10,4,15
10,5,190
10,6,292
10,7,159
10,8,215
10,9,252
10,10,0
==========
